Provided_col_name,final_col_name,cand_tab,obs_tab,sed_tab,dtype,astropy_unit_str,doc_description,Add Comments here!
PHANGS_F555W_VEGA_TOT_ERR,PHANGS_F555W_VEGA_ERR,1,1,0,float,mag,,
PHANGS_F814W_VEGA_TOT,PHANGS_F814W_VEGA,1,1,0,float,mag,,
PHANGS_F814W_VEGA_TOT_ERR,PHANGS_F814W_VEGA_ERR,1,1,0,float,mag,,
PHANGS_F275W_mJy_TOT,PHANGS_F275W_mJy,1,1,0,float,mJy,,
PHANGS_F275W_mJy_TOT_ERR,PHANGS_F275W_mJy_ERR,1,1,0,float,mJy,,
PHANGS_F336W_mJy_TOT,PHANGS_F336W_mJy,1,1,0,float,mJy,,
PHANGS_F336W_mJy_TOT_ERR,PHANGS_F336W_mJy_ERR,1,1,0,float,mJy,,
PHANGS_F435W_mJy_TOT,PHANGS_F435W_mJy,1,1,0,float,mJy,,
PHANGS_F435W_mJy_TOT_ERR,PHANGS_F435W_mJy_ERR,1,1,0,float,mJy,,
PHANGS_F438W_mJy_TOT,PHANGS_F438W_mJy,1,1,0,float,mJy,,
PHANGS_F438W_mJy_TOT_ERR,PHANGS_F438W_mJy_ERR,1,1,0,float,mJy,,
PHANGS_F555W_mJy_TOT,PHANGS_F555W_mJy,1,1,0,float,mJy,,
PHANGS_F555W_mJy_TOT_ERR,PHANGS_F555W_mJy_ERR,1,1,0,float,mJy,,
PHANGS_F814W_mJy_TOT,PHANGS_F814W_mJy,1,1,0,float,mJy,,
PHANGS_F814W_mJy_TOT_ERR,PHANGS_F814W_mJy_ERR,1,1,0,float,mJy,,
PHANGS_NON_DETECTION_FLAG,PHANGS_NON_DETECTION_FLAG,1,1,0,int,,,
PHANGS_NO_COVERAGE_FLAG,PHANGS_NO_COVERAGE_FLAG,1,1,0,int,,,
PHANGS_CI,PHANGS_CI,1,1,0,float,mag,,
PHANGS_AGE_MINCHISQ,PHANGS_AGE_MINCHISQ,1,0,0,float,Myr,Cluster age corresponding to SED fit with minimum reduced Chi2,
PHANGS_AGE_MINCHISQ_ERR,PHANGS_AGE_MINCHISQ_ERR,1,0,0,float,Myr,Uncertainty of age from minimum reduced Chi2,
PHANGS_MASS_MINCHISQ,PHANGS_MASS_MINCHISQ,1,0,0,float,M_sun,Cluster mass corresponding to SED fit with minimum reduced Chi2,
PHANGS_MASS_MINCHISQ_ERR,PHANGS_MASS_MINCHISQ_ERR,1,0,0,float,M_sun,Uncertainty of mass from minimum reduced Chi2,
PHANGS_EBV_MINCHISQ,PHANGS_EBV_MINCHISQ,1,0,0,float,mag,Cluster reddening E(B-V) corresponding to SED fit with minimum reduced Chi2,
PHANGS_EBV_MINCHISQ_ERR,PHANGS_EBV_MINCHISQ_ERR,1,0,0,float,mag,Uncertainty of E(B-V) from minimum reduced Chi2,
PHANGS_REDUCED_MINCHISQ,PHANGS_REDUCED_MINCHISQ,1,0,0,float,,The reduced Chi2 value from the SED fit,
PHANGS_DM,PHANGS_DM,1,0,1,float,mag,Distance modulus of host galaxy used for SED-TreeFit analysis,
PHANGS_DMPC,PHANGS_DMPC,1,0,1,float,Mpc,Distance of host galaxy used for SED-Tree Fit analysis,
PHANGS_DERR,PHANGS_DERR,1,0,1,float,Mpc,Uncertainty on distance,
PHANGS_GALAXY,PHANGS_GALAXY,1,0,1,str,,Host galaxy name,
UBVIalldetected,,0,0,0,,,,
UBVIatleastlimits,,0,0,0,,,,
BVIalldetected,,0,0,0,,,,
BVIatleastlimits,,0,0,0,,,,
BValldetected,,0,0,0,,,,
VIalldetected,,0,0,0,,,,
NUVUalldetected,,0,0,0,,,,
UBVIcceval,,0,0,0,,,,
BVIcceval,,0,0,0,,,,
NOcceval,,0,0,0,,,,
BVceval,,0,0,0,,,,
VIceval,,0,0,0,,,,
NUVUceval,,0,0,0,,,,
FlagOGC_UBVI,,0,0,0,,,,
OGCpoly_UBVI,,0,0,0,,,,
OGC_Cull1,,0,0,0,,,,
FlagOGC_BVI,,0,0,0,,,,
OGCpoly_BVI,,0,0,0,,,,
OGC_Cull2,,0,0,0,,,,
FlagOGCr_UBVI,,0,0,0,,,,
OGCrpoly_UBVI,,0,0,0,,,,
OGCr_Cull1,,0,0,0,,,,
FlagOGCr_BVI,,0,0,0,,,,
OGCrpoly_BVI,,0,0,0,,,,
OGCr_Cull2,,0,0,0,,,,
FlagYRO_UBVI,,0,0,0,,,,
YROpoly_UBVI,,0,0,0,,,,
YRO_Cull1,,0,0,0,,,,
FlagYRO_BVI,,0,0,0,,,,
YROpoly_BVI,,0,0,0,,,,
YRO_Cull2,,0,0,0,,,,
envmask,,0,0,0,,,,
mm_Zyoung_youngestmode_age,,0,0,0,,,,
mm_Zyoung_youngestmode_ebv,,0,0,0,,,,
mm_Zyoung_youngestmode_mass,,0,0,0,,,,
mm_Zyoung_youngestmode_likelihood,,0,0,0,,,,
mm_Zyoung_bestmode_age,mm_Zyoung_bestmode_age,1,0,0,float,Myr,Age based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_bestmode_ebv,mm_Zyoung_bestmode_ebv,1,0,0,float,M_sun,Reddening E(B-V) based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_bestmode_mass,mm_Zyoung_bestmode_mass,1,0,0,float,mag,Mass based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_bestmode_likelihood,,0,0,0,,,,
mm_Zyoung_youngestmode_age_limlo,,0,0,0,,,,
mm_Zyoung_youngestmode_ebv_limlo,,0,0,0,,,,
mm_Zyoung_youngestmode_mass_limlo,,0,0,0,,,,
mm_Zyoung_bestmode_age_limlo,mm_Zyoung_bestmode_age_limlo,1,0,0,float,Myr,Lower limit on age based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_bestmode_ebv_limlo,mm_Zyoung_bestmode_ebv_limlo,1,0,0,float,M_sun,Lower limit on reddening E(B-V) based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_bestmode_mass_limlo,mm_Zyoung_bestmode_mass_limlo,1,0,0,float,mag,Lower limit on mass based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_youngestmode_age_limhi,,0,0,0,,,,
mm_Zyoung_youngestmode_ebv_limhi,,0,0,0,,,,
mm_Zyoung_youngestmode_mass_limhi,,0,0,0,,,,
mm_Zyoung_bestmode_age_limhi,mm_Zyoung_bestmode_age_limhi,1,0,0,float,Myr,Upper limit on age based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_bestmode_ebv_limhi,mm_Zyoung_bestmode_ebv_limhi,1,0,0,float,M_sun,Upper limit on reddening E(B-V) based on YNO branch model grid in SED-TreeFit analysis,
mm_Zyoung_bestmode_mass_limhi,mm_Zyoung_bestmode_mass_limhi,1,0,0,float,mag,Upper limit on mass based on YNO branch model grid in SED-TreeFit analysis,
mm_Z_youngestmode_age,,0,0,0,,,,
mm_Z_youngestmode_ebv,,0,0,0,,,,
mm_Z_youngestmode_mass,,0,0,0,,,,
mm_Z_youngestmode_likelihood,,0,0,0,,,,
mm_Z_bestmode_age,mm_Z_bestmode_age,1,0,0,float,Myr,Age based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_bestmode_ebv,mm_Z_bestmode_ebv,1,0,0,float,M_sun,Reddening E(B-V) based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_bestmode_mass,mm_Z_bestmode_mass,1,0,0,float,mag,Mass based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_bestmode_likelihood,,0,0,0,,,,
mm_Z_youngestmode_age_limlo,,0,0,0,,,,
mm_Z_youngestmode_ebv_limlo,,0,0,0,,,,
mm_Z_youngestmode_mass_limlo,,0,0,0,,,,
mm_Z_bestmode_age_limlo,mm_Z_bestmode_age_limlo,1,0,0,float,Myr,Lower limit on age based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_bestmode_ebv_limlo,mm_Z_bestmode_ebv_limlo,1,0,0,float,M_sun,Lower limit on reddening E(B-V) based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_bestmode_mass_limlo,mm_Z_bestmode_mass_limlo,1,0,0,float,mag,Lower limit on mass based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_youngestmode_age_limhi,,0,0,0,,,,
mm_Z_youngestmode_ebv_limhi,,0,0,0,,,,
mm_Z_youngestmode_mass_limhi,,0,0,0,,,,
mm_Z_bestmode_age_limhi,mm_Z_bestmode_age_limhi,1,0,0,float,Myr,Upper limit on age based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_bestmode_ebv_limhi,mm_Z_bestmode_ebv_limhi,1,0,0,float,M_sun,Upper limit on reddening E(B-V) based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_Z_bestmode_mass_limhi,mm_Z_bestmode_mass_limhi,1,0,0,float,mag,Upper limit on mass based on general branch (standard pipeline) model grid in SED-TreeFit analysis,
mm_lowZ_oldestmode_age,,0,0,0,,,,
mm_lowZ_oldestmode_ebv,,0,0,0,,,,
mm_lowZ_oldestmode_mass,,0,0,0,,,,
mm_lowZ_oldestmode_likelihood,,0,0,0,,,,
mm_lowZ_bestmode_age,mm_lowZ_bestmode_age,1,0,0,float,Myr,Age based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_bestmode_ebv,mm_lowZ_bestmode_ebv,1,0,0,float,M_sun,Reddening E(B-V) based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_bestmode_mass,mm_lowZ_bestmode_mass,1,0,0,float,mag,Mass based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_bestmode_likelihood,,0,0,0,,,,
mm_lowZ_oldestmode_age_limlo,,0,0,0,,,,
mm_lowZ_oldestmode_ebv_limlo,,0,0,0,,,,
mm_lowZ_oldestmode_mass_limlo,,0,0,0,,,,
mm_lowZ_bestmode_age_limlo,mm_lowZ_bestmode_age_limlo,1,0,0,float,Myr,Lower limit on age based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_bestmode_ebv_limlo,mm_lowZ_bestmode_ebv_limlo,1,0,0,float,M_sun,Lower limit on reddening E(B-V) based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_bestmode_mass_limlo,mm_lowZ_bestmode_mass_limlo,1,0,0,float,mag,Lower limit on mass based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_oldestmode_age_limhi,,0,0,0,,,,
mm_lowZ_oldestmode_ebv_limhi,,0,0,0,,,,
mm_lowZ_oldestmode_mass_limhi,,0,0,0,,,,
mm_lowZ_bestmode_age_limhi,mm_lowZ_bestmode_age_limhi,1,0,0,float,Myr,Upper limit on age based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_bestmode_ebv_limhi,mm_lowZ_bestmode_ebv_limhi,1,0,0,float,M_sun,Upper limit on reddening E(B-V) based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_lowZ_bestmode_mass_limhi,mm_lowZ_bestmode_mass_limhi,1,0,0,float,mag,Upper limit on mass based on OGC branch (Z_Sun/50) model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_youngestmode_age,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_ebv,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_mass,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_likelihood,,0,0,0,,,,
mm_ZyoungallowhighEBV_bestmode_age,mm_ZyoungallowhighEBV_bestmode_age,1,0,0,float,Myr,Age based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_bestmode_ebv,mm_ZyoungallowhighEBV_bestmode_ebv,1,0,0,float,M_sun,Reddening E(B-V) based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_bestmode_mass,mm_ZyoungallowhighEBV_bestmode_mass,1,0,0,float,mag,Mass based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_bestmode_likelihood,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_age_limlo,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_ebv_limlo,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_mass_limlo,,0,0,0,,,,
mm_ZyoungallowhighEBV_bestmode_age_limlo,mm_ZyoungallowhighEBV_bestmode_age_limlo,1,0,0,float,Myr,Lower limit on age based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_bestmode_ebv_limlo,mm_ZyoungallowhighEBV_bestmode_ebv_limlo,1,0,0,float,M_sun,Lower limit on reddening E(B-V) based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_bestmode_mass_limlo,mm_ZyoungallowhighEBV_bestmode_mass_limlo,1,0,0,float,mag,Lower limit on mass based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_youngestmode_age_limhi,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_ebv_limhi,,0,0,0,,,,
mm_ZyoungallowhighEBV_youngestmode_mass_limhi,,0,0,0,,,,
mm_ZyoungallowhighEBV_bestmode_age_limhi,mm_ZyoungallowhighEBV_bestmode_age_limhi,1,0,0,float,Myr,Upper limit on age based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_bestmode_ebv_limhi,mm_ZyoungallowhighEBV_bestmode_ebv_limhi,1,0,0,float,M_sun,Upper limit on reddening E(B-V) based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_ZyoungallowhighEBV_bestmode_mass_limhi,mm_ZyoungallowhighEBV_bestmode_mass_limhi,1,0,0,float,mag,Upper limit on mass based on high E(B-V) YNO branch model grid in SED-TreeFit analysis,
mm_midZ_oldestmode_age,,0,0,0,,,,
mm_midZ_oldestmode_ebv,,0,0,0,,,,
mm_midZ_oldestmode_mass,,0,0,0,,,,
mm_midZ_oldestmode_likelihood,,0,0,0,,,,
mm_midZ_bestmode_age,mm_midZ_bestmode_age,1,0,0,float,Myr,Age based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_bestmode_ebv,mm_midZ_bestmode_ebv,1,0,0,float,M_sun,Reddening E(B-V) based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_bestmode_mass,mm_midZ_bestmode_mass,1,0,0,float,mag,Mass based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_bestmode_likelihood,,0,0,0,,,,
mm_midZ_oldestmode_age_limlo,,0,0,0,,,,
mm_midZ_oldestmode_ebv_limlo,,0,0,0,,,,
mm_midZ_oldestmode_mass_limlo,,0,0,0,,,,
mm_midZ_bestmode_age_limlo,mm_midZ_bestmode_age_limlo,1,0,0,float,Myr,Lower limit on age based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_bestmode_ebv_limlo,mm_midZ_bestmode_ebv_limlo,1,0,0,float,M_sun,Lower limit on reddening E(B-V) based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_bestmode_mass_limlo,mm_midZ_bestmode_mass_limlo,1,0,0,float,mag,Lower limit on mass based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_oldestmode_age_limhi,,0,0,0,,,,
mm_midZ_oldestmode_ebv_limhi,,0,0,0,,,,
mm_midZ_oldestmode_mass_limhi,,0,0,0,,,,
mm_midZ_bestmode_age_limhi,mm_midZ_bestmode_age_limhi,1,0,0,float,Myr,Upper limit on age based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_bestmode_ebv_limhi,mm_midZ_bestmode_ebv_limhi,1,0,0,float,M_sun,Upper limit on reddening E(B-V) based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
mm_midZ_bestmode_mass_limhi,mm_midZ_bestmode_mass_limhi,1,0,0,float,mag,Upper limit on mass based on alternative OGC branch (Z_Sun/5) model grid in SED-TreeFit analysis,
Clust_HaCDDssSUM_inaper_tot,,0,0,0,,,,
Clust_HaCDDssSUM_inaper_avg,Clust_HaCDDssSUM_inaper_avg,1,0,0,float,erg/s/cm/arcsec^2,"Average H-alpha surface brightness after diffuse emission removal in circular aperture of radius 4*0.03962"" ",
Clust_avgSNR_inaper,Clust_avgSNR_inaper,1,0,0,float,,"Average H-alpha S/N after diffuse emission removal in circular aperture of radius 4*0.03962""",
Clust_CenterInSeg,Clust_CenterInSeg,1,0,0,bool,,Flag indicating if the cluster is centered within an H-alpha clump segment,
Clust_CoveredOneHalf,Clust_CoveredOneHalf,1,0,0,bool,,Flag indicating if the cluster photometric aperture is covered at 50 percent or higher level by an H-alpha clump segment(s),
Clust_SegMaxInAp,Clust_SegMaxInAp,1,0,0,bool,,Flag indicating if any maximum of an H-alpha clump segment is within the cluster photometric aperture,
Clust_HaUnion,Clust_HaUnion,1,0,0,bool,,Flag indicating if any of the H-alpha clump segment flags are True,
HaFLAG,HaFLAG,1,0,0,bool,,Flag indicating if the cluster passes the H-alpha SED-TreeFit decision point,
OGC_fix,,0,0,0,,,,
OGC_spiraldigit,,0,0,0,,,,
OGCclass_okay,,0,0,0,,,,
OGCcc_okay,,0,0,0,,,,
SEDfix_age,PHANGS_SED_AGE,1,0,1,float,Myr,Age corresponding to SED-TreeFit analysis.,
SEDfix_ebv,PHANGS_SED_EBV,1,0,1,float,mag,Reddening E(B-V) corresponding to SED-TreeFit analysis.,
SEDfix_mass,PHANGS_SED_MASS,1,0,1,float,M_sun,Stellar mass corresponding to SED-TreeFit analysis.,
SEDfix_age_limlo,PHANGS_SED_AGE_LIMLO,1,0,1,float,Myr,Lower limit on age corresponding to SED-TreeFit analysis.,
SEDfix_ebv_limlo,PHANGS_SED_ebv_LIMLO,1,0,1,float,mag,Lower limit on reddening E(B-V) corresponding to SED-TreeFit analysis.,
SEDfix_mass_limlo,PHANGS_SED_MASS_LIMLO,1,0,1,float,M_sun,Lower limit on stellar mass corresponding to SED-TreeFit analysis.,
SEDfix_age_limhi,PHANGS_SED_AGE_LIMHI,1,0,1,float,Myr,Upper limit on age corresponding to SED-TreeFit analysis.,
SEDfix_ebv_limhi,PHANGS_SED_EBV_LIMHI,1,0,1,float,mag,Upper limit on reddening E(B-V) corresponding to SED-TreeFit analysis.,
SEDfix_mass_limhi,PHANGS_SED_MASS_LIMHI,1,0,1,float,M_sun,Upper limit on stellar mass corresponding to SED-TreeFit analysis.,
SEDfix_likelihood_norm,PHANGS_SED_LIKELIHOOD_NORM,1,0,1,float,,,
YRO_fix,,0,0,0,,,,
highEBV_fix,,0,0,0,,,,
YRO,PHANGS_YNO_GRID_FLAG,1,0,1,bool,,Flag to mark clusters which were fit using the YNO branch model grid for the SED-TreeFit analysis. ,
OGC,PHANGS_OGC_GRID_FLAG,1,0,1,bool,,Flag to mark clusters which were fit using the OGC branch model grid for the SED-TreeFit analysis.,
highEBV,PHANGS_HIGH_EBV_GRID_FLAG,1,0,1,bool,,Flag to mark clusters which were fit using the high E(B-V) YNO branch model grid for the SED-TreeFit analysis,
general,PHANGS_GENERAL_GRID_FLAG,1,0,1,bool,,Flag to mark clusters which were fit using the general branch model grid for the SED-TreeFit analysis.,
B_VEGA,,0,0,0,,,,
B_VEGA_ERR,,0,0,0,,,,
HAeval,PHANGS_HALPHA_EVAL_FLAG,1,0,1,bool,,Flag indicating if the cluster could be evaluated with H-alpha imaging,
